Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
4.57,65.61,3.74,1.31,0.37,22.37,2.52,93.12,2.69,1.22,50.73,25.9,5.78,11.38,22.95,24.39,1300,0.3,0.23,0.31
,,,,,,,,,,,,,,,,,,,
4.65,65.68,3.75,1.31,0.67,21.86,2.8,95.01,2.6,1.24,53.2,22.58,5.98,11.41,23.37,24.95,1310,0.38,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.71,67.27,3.67,1.31,0.37,22.06,3.08,96.5,2.63,1.28,56.73,20.5,6.27,11.17,23.71,24.65,1360,0.37,0.25,0.31
,,,,,,,,,,,,,,,,,,,
4.67,67.31,3.76,1.28,0.42,22.09,2.94,96.42,2.62,1.24,57.37,20.1,6.01,11.44,23.47,24.75,1340,0.33,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.53,65.01,3.63,1.27,0.95,22.87,1.26,90.62,2.8,1.25,50.05,27.86,5.86,11.05,22.77,24.57,1280,0.49,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.57,65.47,3.7,1.31,0.46,23.15,1.18,90.16,2.8,1.24,49.75,28.89,5.85,11.26,22.96,24.39,1350,0.46,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.56,65.64,3.42,1.26,0.37,23.4,1.26,89.77,2.93,1.33,48.68,30.41,6.3,10.41,23,23.61,1310,0.3,0.25,0.3
,,,,,,,,,,,,,,,,,,,
4.56,64.96,3.66,1.31,0.52,23.29,1.18,89.02,2.83,1.25,46.73,31.56,5.89,11.14,22.92,24.33,1300,0.44,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.61,65.12,3.71,1.32,0.45,23.25,1.64,89.27,2.79,1.24,45.41,32.45,5.94,11.29,23.17,24.53,1320,0.36,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.48,64.95,3.71,1.28,0.44,22.8,1.86,90.79,2.78,1.21,48.11,29.11,5.59,11.29,22.48,24.1,1290,0.36,0.24,0.31
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.61,65.33,3.67,1.28,0.25,23.23,1.4,89.65,2.81,1.26,47.45,30.85,6.01,11.17,23.18,24.2,1310,0.38,0.25,0.31
4.63,64.84,3.73,1.27,0.2,22.66,1.52,90.89,2.71,1.24,49.08,27.99,5.96,11.35,23.27,24.33,1300,0.4,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.53,64.94,3.67,1.24,0.26,22.57,1.68,91.56,2.75,1.23,50.27,26.82,5.79,11.17,22.76,23.94,1280,0.38,0.25,0.32
4.96,65.42,3.89,1.31,0.26,23.08,1.18,89.61,2.61,1.28,47.18,30.62,6.56,11.84,24.96,25.76,1470,0.18,0.22,0.34
,,,,,,,,,,,,,,,,,,,
4.76,65.05,3.85,1.27,0.5,22.71,1.4,90.72,2.64,1.24,48.99,28.19,6.1,11.72,23.92,25.28,1250,0.39,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.78,65.57,3.79,1.27,0.27,22.96,1.54,90.58,2.68,1.26,48.59,29.21,6.25,11.53,24.04,24.98,1280,0.28,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.73,65.05,3.71,1.28,0.23,23.32,1.26,88.76,2.76,1.27,45.33,32.7,6.26,11.29,23.8,24.63,1250,0.39,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.55,64.85,3.75,1.25,0.2,22.52,1.4,91.52,2.71,1.21,51.18,26,5.71,11.41,22.84,24.12,1270,0.4,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.38,3.75,1.25,0.31,23.66,1.01,88.08,2.8,1.25,45.25,33.74,6.11,11.41,23.63,24.68,1420,0.25,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.75,65.25,3.92,1.25,0.35,22.5,1.51,91.7,2.6,1.21,50.92,26.13,5.95,11.93,23.84,25.24,1400,0.19,0.22,0.32
4.68,65.16,3.91,1.24,0.31,22.15,2.24,92.97,2.58,1.2,50.73,25.27,5.79,11.9,23.47,24.96,1440,0.19,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.6,64.89,3.9,1.22,0.35,21.85,2.66,93.85,2.57,1.18,50.75,24.4,5.59,11.87,23.05,24.72,1480,0.19,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.58,64.97,3.9,1.22,0.35,21.78,2.24,94.26,2.57,1.17,53.46,22.16,5.54,11.87,22.94,24.66,1300,0.19,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.73,64.85,3.58,1.31,0.33,23.2,1.84,89,2.79,1.32,43.25,33.93,6.48,10.89,23.85,24.47,1260,0.34,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.66,64.76,3.5,1.32,0.65,22.87,1.64,90.18,2.8,1.33,46.79,30.31,6.43,10.65,23.5,24.42,1120,0.39,0.3,0.31
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.47,64.64,3.5,1.26,0.61,21.97,1.64,93.59,2.76,1.28,54.42,21.98,5.92,10.65,22.5,23.76,1360,0.39,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.93,65.37,3.93,1.26,0.28,22.97,1.48,89.93,2.59,1.25,46.74,30.64,6.41,11.96,24.79,25.73,1300,0.19,0.22,0.33
,,,,,,,,,,,,,,,,,,,
4.78,64.81,3.6,1.31,0.26,22.88,1.4,89.96,2.73,1.33,46.95,30.22,6.58,10.95,24.11,24.59,1350,0.27,0.27,0.31
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.85,64.58,3.58,1.3,0.27,22.82,1.26,89.76,2.71,1.35,46.6,30.31,6.8,10.89,24.48,24.75,1330,0.36,0.29,0.31
4.73,65.39,3.59,1.32,0.32,23.15,1.4,89.9,2.78,1.32,47.61,30.5,6.46,10.92,23.84,24.49,1340,0.31,0.25,0.31
,,,,,,,,,,,,,,,,,,,
4.73,65.21,3.57,1.32,0.27,23.31,1.12,89.12,2.81,1.32,46.83,31.55,6.49,10.86,23.85,24.4,1400,0.29,0.25,0.31
,,,,,,,,,,,,,,,,,,,
4.72,65.47,3.52,1.35,0.54,22.45,2.24,92.58,2.72,1.34,50,26.69,6.55,10.71,23.82,24.56,1250,0.46,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.77,65.19,3.51,1.32,0.31,23.01,1.35,90.12,2.78,1.36,47.91,29.87,6.7,10.68,24.08,24.42,1250,0.38,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.3,3.56,1.35,0.48,22.98,1.79,90.44,2.78,1.32,47.19,30.33,6.43,10.83,23.7,24.53,1220,0.37,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.7,64.9,3.52,1.32,0.41,22.86,1.82,90.34,2.78,1.34,46.41,30.57,6.5,10.71,23.71,24.34,1260,0.39,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.74,64.86,3.63,1.32,0.36,23.38,1.12,88.35,2.79,1.31,44.72,33.34,6.42,11.05,23.88,24.65,1360,0.35,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.47,64.64,3.49,1.26,0.49,22.31,1.84,92.33,2.8,1.28,51.04,25.5,5.94,10.62,22.5,23.61,1290,0.34,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.17,3.54,1.34,0.54,22.38,2.24,92.43,2.72,1.33,49.42,26.92,6.47,10.77,23.7,24.53,1250,0.46,0.31,0.3
4.66,65.68,3.61,1.33,0.15,22.99,1.86,90.95,2.78,1.29,48.57,29.31,6.24,10.99,23.47,24.17,1300,0.35,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.77,65.12,3.54,1.32,0.76,22.09,2.24,93.32,2.66,1.35,50.95,24.94,6.65,10.77,24.07,24.94,1250,0.43,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.75,65.69,3.57,1.32,0.69,22.45,2.1,92.8,2.7,1.33,51.19,25.79,6.55,10.86,23.96,24.88,1270,0.38,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.58,66.14,3.56,1.32,0.47,22.32,2.52,94.2,2.74,1.29,53.46,23.7,6.11,10.83,23.06,24.13,1310,0.31,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.56,65.33,3.62,1.31,0.55,22.97,1.4,90.67,2.81,1.26,49.83,28.31,5.96,11.02,22.93,24.28,1340,0.37,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.57,64.87,3.45,1.33,0.57,23.24,1.54,89.22,2.9,1.32,45.51,32.34,6.27,10.5,23.04,23.97,1250,0.42,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.51,65.41,3.55,1.29,0.42,22.85,1.82,91.34,2.83,1.27,49.79,27.99,5.94,10.8,22.69,23.82,1290,0.33,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.45,65.2,3.55,1.28,0.42,22.42,2.38,92.7,2.8,1.25,50.33,26.35,5.79,10.8,22.37,23.64,1320,0.33,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.39,64.99,3.54,1.26,0.43,22.28,2.52,93.02,2.81,1.24,50.39,25.91,5.64,10.77,22.06,23.43,1320,0.34,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.32,64.97,3.55,1.24,0.44,22.04,2.63,94,2.8,1.22,52.14,23.9,5.44,10.8,21.69,23.23,1260,0.34,0.27,0.3
,,,,,,,,,,,,,,,,,,,
4.51,65.04,3.44,1.31,0.46,23.1,2.36,90.04,2.91,1.31,44.35,32.81,6.13,10.47,22.73,23.64,1280,0.4,0.29,0.3
,,,,,,,,,,,,,,,,,,,
4.61,64.95,3.49,1.31,0.47,22.98,1.46,90.14,2.84,1.32,47.81,29.86,6.31,10.62,23.24,24.06,1300,0.37,0.3,0.3
4.57,65.06,3.45,1.31,0.5,22.71,2.48,91.35,2.83,1.32,46.49,30.08,6.27,10.5,23.04,23.88,1280,0.49,0.32,0.29
,,,,,,,,,,,,,,,,,,,
4.59,65.7,3.59,1.3,0.51,22.76,1.48,91.92,2.78,1.28,52.45,25.73,6.09,10.92,23.1,24.25,1320,0.39,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.71,65.15,3.64,1.33,0.49,23.24,1.12,89.25,2.78,1.29,47.15,31.1,6.32,11.08,23.72,24.72,1330,0.38,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.61,64.88,3.63,1.32,0.49,23.04,1.4,89.72,2.8,1.27,47.12,30.55,6.07,11.05,23.2,24.4,1300,0.42,0.32,0.3
,,,,,,,,,,,,,,,,,,,
4.52,65.19,3.57,1.32,0.44,23.22,1.54,89.71,2.87,1.27,47.13,31.06,5.94,10.86,22.74,23.95,1320,0.34,0.28,0.3
,,,,,,,,,,,,,,,,,,,
4.44,65.66,3.42,1.31,0.4,22.95,2.1,91.55,2.92,1.3,49.57,28.45,5.98,10.41,22.37,23.33,1280,0.37,0.28,0.29
,,,,,,,,,,,,,,,,,,,
4.6,64.21,3.55,1.29,0.44,22.35,1.88,91.32,2.74,1.3,47.86,28.01,6.18,10.8,23.17,24.11,1300,0.4,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.44,65.16,3.43,1.28,0.23,22.65,1.9,91.92,2.88,1.29,50.61,26.8,5.96,10.44,22.36,23.15,1340,0.33,0.28,0.3
,,,,,,,,,,,,,,,,,,,
4.53,64.78,3.51,1.29,0.47,22.63,1.96,91.25,2.81,1.29,48.26,28.52,6.07,10.68,22.81,23.85,1310,0.38,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.52,65.35,3.55,1.3,0.62,22.49,2.24,92.55,2.79,1.27,50.51,26.42,5.97,10.8,22.75,24.06,1300,0.42,0.32,0.3
,,,,,,,,,,,,,,,,,,,
4.49,65.4,3.38,1.31,0.5,22.77,2.1,91.79,2.89,1.33,49.6,27.91,6.18,10.29,22.64,23.49,1240,0.45,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.45,65.17,3.42,1.29,0.66,22.86,1.82,91.17,2.9,1.3,49.33,28.37,6.01,10.41,22.42,23.6,1270,0.47,0.32,0.3
4.51,65.53,3.43,1.29,0.58,22.79,1.4,91.83,2.87,1.31,52.62,25.69,6.15,10.44,22.73,23.72,1340,0.44,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.54,65.7,3.49,1.3,0.59,22.48,2.24,93.1,2.8,1.3,51.96,25.29,6.13,10.62,22.87,23.96,1290,0.43,0.31,0.3
,,,,,,,,,,,,,,,,,,,
4.66,65.67,3.56,1.34,0.58,22.32,2.52,93.4,2.72,1.31,51.01,25.55,6.33,10.83,23.48,24.5,1310,0.41,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.62,65.48,3.57,1.31,0.39,23.02,1.54,90.66,2.81,1.29,49.16,28.96,6.2,10.86,23.27,24.18,1330,0.35,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.61,64.71,3.6,1.3,0.48,23.25,1.18,88.79,2.83,1.28,45.77,32.17,6.13,10.95,23.21,24.3,1380,0.37,0.3,0.31
,,,,,,,,,,,,,,,,,,,
4.56,64.86,3.55,1.3,0.47,22.77,1.82,90.78,2.81,1.28,47.83,29.24,6.08,10.8,22.96,24.03,1320,0.4,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.52,64.96,3.49,1.26,0.5,23.17,1.68,89.63,2.89,1.3,46.12,31.68,6.07,10.62,22.77,23.77,1310,0.45,0.29,0.3
,,,,,,,,,,,,,,,,,,,
4.48,64.72,3.84,1.27,0.51,23.14,1.46,89.18,2.78,1.17,46.03,31.66,5.37,11.69,22.43,24.44,1340,0.43,0.32,0.3
,,,,,,,,,,,,,,,,,,,
4.42,65.02,3.43,1.27,0.23,22.58,1.46,92.01,2.88,1.29,52.5,25.17,5.91,10.44,22.26,23.09,1340,0.33,0.28,0.3
,,,,,,,,,,,,,,,,,,,
4.49,65.44,3.61,1.26,0.21,22.96,1.62,90.97,2.83,1.24,49.94,28.19,5.79,10.99,22.57,23.66,1360,0.36,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.52,65.13,3.69,1.25,0.36,23.15,1.26,89.77,2.82,1.22,48.39,29.91,5.73,11.23,22.7,24.06,1370,0.39,0.29,0.3
,,,,,,,,,,,,,,,,,,,
4.45,65.03,3.6,1.24,0.67,22.88,1.4,90.75,2.84,1.24,50.06,27.87,5.7,10.95,22.36,23.96,1320,0.47,0.33,0.3
4.42,65.79,3.55,1.25,0.52,22.62,2.24,92.85,2.84,1.25,51.98,25.68,5.71,10.8,22.22,23.62,1310,0.41,0.3,0.29
,,,,,,,,,,,,,,,,,,,
4.52,66.28,3.62,1.26,0.49,22.04,2.8,95.51,2.71,1.25,55.34,21.49,5.85,11.02,22.72,24.05,1300,0.39,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.5,65.84,3.6,1.26,0.61,21.43,2.97,97.32,2.65,1.25,57.65,17.99,5.83,10.95,22.62,24.07,1290,0.42,0.33,0.3
,,,,,,,,,,,,,,,,,,,
4.55,65.46,3.64,1.26,0.34,22.66,2.63,91.96,2.77,1.25,47.75,28.99,5.9,11.08,22.87,24.03,1300,0.37,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.57,64.84,3.73,1.25,0.33,23.03,1.4,89.68,2.77,1.23,47.16,30.5,5.8,11.35,22.95,24.27,1340,0.38,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.54,64.57,3.79,1.25,0.2,23.09,1.29,89.1,2.77,1.2,46.16,31.42,5.62,11.53,22.77,24.18,1360,0.36,0.3,0.32
,,,,,,,,,,,,,,,,,,,
4.41,66.1,3.67,1.27,0.39,22.39,2.84,94.05,2.77,1.2,52.45,24.67,5.48,11.17,22.12,23.74,1340,0.43,0.32,0.3
,,,,,,,,,,,,,,,,,,,
4.48,64.86,3.62,1.25,0.62,22.87,1.62,90.49,2.82,1.24,48.32,29.16,5.75,11.02,22.51,24.05,1350,0.44,0.33,0.31
,,,,,,,,,,,,,,,,,,,
4.5,64.91,3.6,1.27,0.54,23.03,1.4,89.99,2.84,1.25,48.1,29.79,5.83,10.95,22.62,24.01,1300,0.46,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.59,64.57,3.68,1.25,0.32,23.11,1.36,89.04,2.79,1.25,45.55,31.94,5.94,11.2,23.07,24.21,1330,0.47,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.66,64.91,3.65,1.28,0.41,22.82,1.96,90.45,2.75,1.28,46.27,30.56,6.17,11.11,23.45,24.47,1260,0.45,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.79,64.51,3.76,1.3,0.41,23.12,1.12,88.57,2.7,1.27,44.75,32.57,6.33,11.44,24.1,25.11,1320,0.43,0.32,0.32
4.84,64.68,3.62,1.33,0.14,23.12,1.26,88.85,2.73,1.34,44.73,32.58,6.7,11.02,24.42,24.71,1330,0.38,0.31,0.32
,,,,,,,,,,,,,,,,,,,
4.82,65.54,3.67,1.33,0.39,22.6,1.96,91.85,2.66,1.31,49.4,27.57,6.56,11.17,24.29,25.01,1320,0.39,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.66,65.66,3.51,1.32,0.28,22.75,1.68,91.86,2.78,1.33,51.19,26.65,6.41,10.68,23.5,24.07,1310,0.38,0.3,0.31
,,,,,,,,,,,,,,,,,,,
4.75,65.18,3.47,1.32,0.28,23.09,1.4,89.89,2.81,1.37,47.25,30.6,6.72,10.56,23.99,24.25,1280,0.41,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.74,64.88,3.57,1.33,0.33,23.11,1.36,89.34,2.78,1.33,45.96,31.63,6.52,10.86,23.9,24.5,1300,0.42,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.73,64.73,3.53,1.32,0.48,22.88,1.26,89.98,2.77,1.34,47.63,29.71,6.56,10.74,23.87,24.52,1270,0.45,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.78,64.62,3.43,1.31,0.69,22.98,1.17,89.48,2.8,1.39,46.59,30.77,6.86,10.44,24.16,24.65,1300,0.41,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.76,64.9,3.45,1.32,0.5,22.99,1.26,89.85,2.8,1.38,47.4,30.2,6.78,10.5,24.05,24.45,1290,0.43,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.26,3.41,1.34,0.38,22.87,1.4,90.89,2.82,1.38,49.67,28.14,6.69,10.38,23.75,24.09,1280,0.42,0.34,0.3
,,,,,,,,,,,,,,,,,,,
4.68,65.25,3.53,1.37,0.38,22.86,1.26,90.85,2.78,1.33,50.23,27.69,6.43,10.74,23.6,24.32,1310,0.4,0.34,0.3
,,,,,,,,,,,,,,,,,,,
4.68,64.96,3.59,1.42,0.47,22.78,1.46,90.68,2.75,1.3,48.76,28.57,6.33,10.92,23.58,24.59,1340,0.47,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.78,64.68,3.58,1.48,0.55,22.77,1.43,90.18,2.72,1.34,47.16,29.74,6.61,10.89,24.11,25.01,1340,0.52,0.41,0.3
4.75,64.69,3.61,1.44,0.53,22.67,1.35,90.57,2.71,1.32,48.45,28.49,6.48,10.99,23.94,24.92,1300,0.51,0.4,0.31
,,,,,,,,,,,,,,,,,,,
4.87,64.15,3.77,1.46,0.43,22.88,1.01,88.78,2.65,1.29,45,31.69,6.53,11.47,24.53,25.55,1310,0.53,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.78,65.52,3.68,1.37,0.51,22.64,1.24,91.73,2.68,1.3,52.2,25.57,6.44,11.2,24.08,25.08,1410,0.35,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.85,65.86,3.74,1.39,0.52,21.94,1.86,94.65,2.55,1.3,55.83,20.83,6.52,11.38,24.43,25.45,1370,0.4,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.77,65.42,3.62,1.36,0.33,22.51,1.72,92.13,2.68,1.32,50.98,26.12,6.52,11.02,24.05,24.73,1300,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.81,64.49,3.61,1.39,0.31,23.06,0.86,88.84,2.74,1.33,46.26,31.26,6.64,10.99,24.26,24.83,1420,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.81,64.53,3.74,1.48,0.65,22.72,1.26,89.97,2.66,1.29,47.19,29.58,6.42,11.38,24.22,25.55,1360,0.5,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.87,64.49,3.8,1.48,0.55,22.54,1.68,90.41,2.6,1.28,46.2,29.81,6.48,11.56,24.52,25.76,1260,0.42,0.37,0.32
,,,,,,,,,,,,,,,,,,,
4.87,65,3.86,1.51,0.43,22.67,1.4,90.62,2.6,1.26,48.34,28.57,6.37,11.75,24.49,25.8,1320,0.39,0.36,0.32
,,,,,,,,,,,,,,,,,,,
5,65,4.08,1.57,0.39,22.15,1.82,92.1,2.44,1.23,49.4,26.28,6.35,12.42,25.11,26.69,1310,0.38,0.36,0.33
,,,,,,,,,,,,,,,,,,,
5.09,64.79,4.04,1.57,0.41,22.45,1.4,90.63,2.46,1.26,47.42,28.63,6.65,12.29,25.6,26.88,1350,0.39,0.38,0.34
,,,,,,,,,,,,,,,,,,,
4.97,65,4.07,1.53,0.38,21.99,1.73,92.75,2.43,1.22,51.2,24.47,6.28,12.39,24.95,26.53,1340,0.37,0.37,0.34
4.99,64.56,4.06,1.53,0.42,22.12,1.68,91.62,2.44,1.23,48.5,26.87,6.35,12.35,25.06,26.6,1320,0.39,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.92,65.06,3.79,1.47,0.56,22.67,1.43,90.68,2.6,1.3,48.23,28.65,6.63,11.53,24.78,25.88,1320,0.43,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.83,65.25,3.68,1.44,0.49,22.62,1.82,91.35,2.66,1.31,48.56,28.26,6.57,11.2,24.34,25.27,1260,0.39,0.34,0.33
,,,,,,,,,,,,,,,,,,,
4.76,64.85,3.6,1.44,0.45,22.89,1.4,90.01,2.74,1.32,47.17,30.08,6.52,10.95,24,24.85,1310,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
